sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia WW no shoving,no_shoving,thrust,standard,30_35,"[30,35)",1,1347509.0,301810882.0,-0.053114966938163616,0.00013834175328934415,-0.23046684563763964
Pythia WW no shoving,no_shoving,thrust,standard,30_35,"[30,35)",2,1347509.0,301810882.0,0.009531248072168584,0.00025252514034696964,0.09762811107549191
Pythia WW no shoving,no_shoving,thrust,standard,30_35,"[30,35)",3,1347509.0,301810882.0,-0.017482612081909623,0.00011690476029754101,-0.13222182906732768
Pythia WW no shoving,no_shoving,thrust,standard,35_40,"[35,40)",1,735571.0,215864270.0,-0.04736296517598767,0.00014593023857945866,-0.21763034066045953
Pythia WW no shoving,no_shoving,thrust,standard,35_40,"[35,40)",2,735571.0,215864270.0,0.015544992119446169,0.0003320815004619227,0.12467955774482908
Pythia WW no shoving,no_shoving,thrust,standard,35_40,"[35,40)",3,735571.0,215864270.0,-0.01401413028884771,0.00016964631515505862,-0.1183812919715261
Pythia WW no shoving,no_shoving,thrust,standard,40_999,"[40,inf)",1,357427.0,142034014.0,-0.03900965656837664,0.0002000743658637848,-0.19750862403544975
Pythia WW no shoving,no_shoving,thrust,standard,40_999,"[40,inf)",2,357427.0,142034014.0,0.018768529212439215,0.0005249350394398953,0.13699828178644874
Pythia WW no shoving,no_shoving,thrust,standard,40_999,"[40,inf)",3,357427.0,142034014.0,-0.00957101197100365,0.000214213541204046,-0.09783154895535309
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,1344459.0,300428642.0,-0.05355034703949765,0.00011640506476305422,-0.2314094791478898
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,1344459.0,300428642.0,0.010777055768917,0.0002499833593424348,0.10381259927830051
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,1344459.0,300428642.0,-0.0177121569761015,0.00010125530446070114,-0.13308702782804002
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,732138.0,214380920.0,-0.04770216030907508,0.00019108629781978265,-0.21840824231030082
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,732138.0,214380920.0,0.0167695013965282,0.0003118492014954084,0.12949710960684874
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,732138.0,214380920.0,-0.01454455407348751,0.00010213225366693172,-0.12060080461376496
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,268276.0,99473432.0,-0.042073698267754554,0.00027816486533335176,-0.2051187418734684
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,268276.0,99473432.0,0.0187737045617658,0.00034463934138185734,0.13701716885765008
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,268276.0,99473432.0,-0.011141683460876267,0.0001803505528466032,-0.10555417310971778
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,70602.0,32239396.0,-0.034583821616006705,0.0005497557295831553,-0.1859672595270649
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,70602.0,32239396.0,0.021164080717759107,0.0007827013712909549,0.14547879817265164
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,70602.0,32239396.0,-0.007921174827177283,0.0003661402508855271,-0.08900098216973384
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,15746.0,8910746.0,-0.028449267481532974,0.0007538141633762304,-0.16866910648228672
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,15746.0,8910746.0,0.01783735092191608,0.001831101637385834,0.13355654578460796
Pythia WW nominal shoving,nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,15746.0,8910746.0,-0.004475236150420178,0.0006041172062924596,-0.0668972058491248
Pythia WW nominal shoving,nominal_shoving,thrust,standard,0_10,"[0,10)",1,171.0,3358.0,-0.1021280870128767,0.031221906942874435,-0.319574853536502
Pythia WW nominal shoving,nominal_shoving,thrust,standard,0_10,"[0,10)",2,171.0,3358.0,-0.03953058039936719,0.06435871897760215,-0.19882298760296102
Pythia WW nominal shoving,nominal_shoving,thrust,standard,0_10,"[0,10)",3,171.0,3358.0,-0.045015859666149495,0.02912959141150758,-0.21216941265448583
Pythia WW nominal shoving,nominal_shoving,thrust,standard,10_15,"[10,15)",1,13940.0,588546.0,-0.07901439200884892,0.002756539247756009,-0.28109498751996437
Pythia WW nominal shoving,nominal_shoving,thrust,standard,10_15,"[10,15)",2,13940.0,588546.0,0.012215234622116029,0.0035188480397104352,0.11052255254976709
Pythia WW nominal shoving,nominal_shoving,thrust,standard,10_15,"[10,15)",3,13940.0,588546.0,-0.025821850712025907,0.002111477770819771,-0.16069178794209088
Pythia WW nominal shoving,nominal_shoving,thrust,standard,15_20,"[15,20)",1,199947.0,14696038.0,-0.07025960073174144,0.00048301670739255616,-0.26506527635988353
Pythia WW nominal shoving,nominal_shoving,thrust,standard,15_20,"[15,20)",2,199947.0,14696038.0,-0.001088774032761517,0.0009155695069240709,-0.03299657607633733
