technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_no_shoving,shoving2x_over_no_shoving,delta_shoving_over_sigma,delta_shoving2x_over_sigma,effect_scale_2x_over_nominal
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},40_999,0.3507465967,0.03277810904,0.3455323686,0.02731631935,0.2940478853,0.03778723739,0.9851339167676662,0.838348505920086,-0.1222037288709778,-1.1334575476515198,10.873845622518795
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},0_10,0.457447628,0.006539856304,0.4718746713,0.008301446497,0.4699796579,0.007298513908,1.0315381311803413,1.0273955511689745,1.3651562811435314,1.2787917051094595,0.868648526202179
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},10_15,0.4393555321,0.001512296639,0.4424176273,0.001018866616,0.4428756577,0.001467126152,1.0069695155205263,1.0080120206593843,1.6792461224334898,1.6706717008071523,1.1495807184570797
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},15_20,0.4317566614,0.0008402555932,0.4339111829,0.0007511547119,0.4354141332,0.0006941474992,1.0049901291459264,1.0084711415641865,1.9116308543794247,3.3558032500471104,1.6975796249886426
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},20_25,0.4249642145,0.0006677362377,0.4272647636,0.0005255069903,0.4290608102,0.0006548060074,1.005413512530006,1.0096398603934684,2.707410456690533,4.380339723345347,1.7807034416261731
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},25_30,0.4110123294,0.0009489822635,0.4130506524,0.001127068398,0.4164641691,0.0007765534877,1.0049592745866665,1.013264418875119,1.3834327292747974,4.446072454117318,2.6746691765730914
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},30_35,0.381588568,0.002545912197,0.3917806378,0.00249632051,0.3920918185,0.001755911184,1.0267095784693423,1.027525065950089,2.858469072910173,3.3961249889595213,1.0305316492239902
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},35_40,0.3410208933,0.005957617909,0.3457338256,0.008618016461,0.3400701974,0.009699093014,1.0138200690708237,0.9972122062938716,0.44984447244868847,-0.08352120243431255,-0.20172067822829237
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{6},40_999,0.3346683873,0.03842623325,0.3250388014,0.03902899316,0.2884223029,0.04273378678,0.9712264848864619,0.861815199298927,-0.17581613619310435,-0.8047055370516332,4.802499804275093
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},0_10,0.4572364261,0.006278543851,0.4704018416,0.008646899075,0.4689570522,0.007321585429,1.0287934529020237,1.0256336228501546,1.2320333950638522,1.2152042437286124,0.8902587312948855
