group,axis,method,bin,v22,v22_err,c22_or_corr,c22_or_corr_err,c22_significance
gap,thrust,etagap3p0,30_35,0.1504417617,0.01415507481,0.02263272367,0.00423969105,5.338295504
gap,thrust,etagap3p0,35_40,0.1720731024,0.04014615754,0.02960915258,0.01383792127,2.139711016
gap,thrust,etagap3p0,40_999,0,0,-0.05074748076,0.1570761311,-0.3230756984
gap,thrust,twosub0,0_10,0.2115712248,0.004278587389,0.04476238316,0.001813599199,24.68151904
gap,thrust,twosub0,10_15,0.2161948755,0.001405096123,0.0467402242,0.0006074954348,76.93921883
gap,thrust,twosub0,15_20,0.2282042644,0.001380152876,0.0520771863,0.000630074004,82.65249158
gap,thrust,twosub0,20_25,0.2223280324,0.001489516661,0.04942975399,0.0006618427245,74.68504549
gap,thrust,twosub0,25_30,0.2193494472,0.003439102829,0.04811417999,0.001507703314,31.91223336
gap,thrust,twosub0,30_35,0.2137878457,0.009578040718,0.04570524298,0.004083257319,11.1933291
gap,thrust,twosub0,35_40,0.2277908567,0.03637852009,0.05188867439,0.01662723273,3.120704162
gap,thrust,twosub0,40_999,0,0,-0.09557483182,0.101421752,-0.9423504317
gap,thrust,twosub1p0,0_10,0.1918738184,0.004790934761,0.0368155622,0.001842512224,19.98117664
gap,thrust,twosub1p0,10_15,0.185292702,0.001694510674,0.03433338542,0.0006279387476,54.67632878
gap,thrust,twosub1p0,15_20,0.1902130778,0.001513113927,0.03618101495,0.0005760187138,62.81222134
gap,thrust,twosub1p0,20_25,0.1751446608,0.002136578148,0.03067565222,0.0007473908815,41.0436533
gap,thrust,twosub1p0,25_30,0.1651203587,0.005022290512,0.02726473284,0.001656126158,16.46295647
gap,thrust,twosub1p0,30_35,0.1502714021,0.01463809531,0.0225814943,0.004366552308,5.171470009
gap,thrust,twosub1p0,35_40,0.1708965737,0.05434468234,0.02920563891,0.01807836437,1.615502283
gap,thrust,twosub1p0,40_999,0,0,-0.1436746696,0.1257880091,-1.142196865
gap,thrust,twosub1p6,0_10,0.1880946755,0.004891670664,0.03537960696,0.001841605214,19.21128736
gap,thrust,twosub1p6,10_15,0.1775342861,0.001943839947,0.03151842276,0.0006906462444,45.6361314
gap,thrust,twosub1p6,15_20,0.1813923933,0.001582542189,0.03290320033,0.0005746098029,57.26181518
gap,thrust,twosub1p6,20_25,0.1652654898,0.002275601467,0.02731268211,0.0007517469951,36.33227973
