technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving_over_no_shoving,delta_over_sigma
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},0_10,0.1314295351,0.001791711521,0.1332630123,0.00212947532,1.0139502677126948,0.6588214610037296
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},10_15,0.1306419352,0.00101723133,0.1341895931,0.0008101557856,1.0271555828882117,2.7280702636279694
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},15_20,0.1377498834,0.0007878327531,0.139588817,0.0009667994489,1.013349801499723,1.4745094715682208
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},20_25,0.133340574,0.001153847178,0.136359631,0.001325625477,1.0226416979425934,1.717857873923436
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},25_30,0.1218312933,0.002850529542,0.1277230133,0.001972964055,1.048359660645579,1.6995114194021743
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},30_35,0.1047093541,0.006999342581,0.1055562078,0.008923874092,1.0080876604318583,0.07466953691814604
eta_gap,etagap3p0,|delta eta|>3.0,thrust,gap v2{2},35_40,0.1303622342,0.02865691704,0.09897426478,0.03721216931,0.7592249809722883,-0.6682884683793963
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},0_10,0.7446872929,0.0003202879381,0.7455204109,0.000258739366,1.0011187487794448,2.023404423876171
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},10_15,0.7325429102,0.0001977929328,0.7343690647,0.0001271219251,1.0024928976508714,7.76686102226571
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},15_20,0.6836424174,0.0001795361671,0.6859945978,0.0001976352855,1.0034406589470353,8.809420898584396
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},20_25,0.6112895573,0.0002027031009,0.6141680503,0.000236052878,1.0047088862644962,9.25137255474634
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},25_30,0.5344323204,0.0006715714011,0.5375214138,0.0005653810411,1.005780139565077,3.5188320628011374
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},30_35,0.4626299913,0.001531600446,0.4707428849,0.001651941815,1.0175364627295402,3.6013894963518878
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},35_40,0.413189148,0.003494279022,0.4042095045,0.007244126854,0.9782674749725033,-1.116475975573154
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{2},40_999,0.4124296105,0.0255243491,0.3861281419,0.01863036617,0.9362279818655261,-0.8323153950735679
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},0_10,0.7140952147,0.0004975996946,0.714585294,0.0003838657407,1.0006862940542263,0.7798134151262112
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},10_15,0.7054249307,0.0002581983738,0.7074183182,0.0001526480455,1.002825796783255,6.645813007306742
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},15_20,0.6464314683,0.0002607254413,0.649299829,0.0002740302882,1.0044372231870817,7.583312213501456
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},20_25,0.5553142107,0.0003804826642,0.5587254597,0.0003924768141,1.0061429168104665,6.240500368151538
