sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,25_30,"[25,30)",2,941849.0,94364560.0,0.3291768372859472,0.0005322808149876518,0.5737393461197752
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,25_30,"[25,30)",3,941849.0,94364560.0,-0.207980307358822,0.0003653872598642117,-0.45604858004254545
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,30_35,"[30,35)",1,489992.0,63512382.0,-0.4206789315365309,0.0006039709759627392,-0.6485976653801113
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,30_35,"[30,35)",2,489992.0,63512382.0,0.23825798714535695,0.000839380992227654,0.48811677613595394
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,30_35,"[30,35)",3,489992.0,63512382.0,-0.12866101955865866,0.0006366482880287279,-0.35869348970765924
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,35_40,"[35,40)",1,203070.0,32278264.0,-0.342770216340631,0.0007519880273404641,-0.5854658114191049
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,35_40,"[35,40)",2,203070.0,32278264.0,0.16736515515329448,0.0009744346733040765,0.4091028662247363
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,35_40,"[35,40)",3,203070.0,32278264.0,-0.0749276185600316,0.0006029874671376447,-0.27372909702848836
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,40_999,"[40,inf)",1,91793.0,18218294.0,-0.25970779346293343,0.0015737876887480901,-0.5096153387241532
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,40_999,"[40,inf)",2,91793.0,18218294.0,0.10255150490018439,0.0012698342904187837,0.3202366389097044
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,40_999,"[40,inf)",3,91793.0,18218294.0,-0.035775032058045615,0.000887171014631885,-0.18914288793937142
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,489992.0,69319438.0,-0.1570286445180499,0.0003245157884359528,-0.3962683995955896
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,489992.0,69319438.0,0.07090588135971326,0.0004201452274786861,0.2662815828398826
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,489992.0,69319438.0,-0.02914338761876575,0.0002024962314963139,-0.1707143450878272
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,203070.0,42965796.0,-0.11841488616649858,0.00046051074378972905,-0.3441146410231604
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,203070.0,42965796.0,0.05113768789690293,0.00057946154974066,0.2261364364645886
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,203070.0,42965796.0,-0.01931852713792385,0.0002886155493667929,-0.1389911045280375
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,67788.0,20408964.0,-0.08840843623605785,0.0005320728340964191,-0.29733556167410896
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,67788.0,20408964.0,0.03732616514830444,0.00127174776467115,0.19319980628433467
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,67788.0,20408964.0,-0.012921465676028436,0.00038211687564437276,-0.11367262500720407
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,18902.0,7709868.0,-0.06525906878644355,0.0010939042559765287,-0.25545854612136887
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,18902.0,7709868.0,0.025075041704448117,0.00190704629168251,0.15835100790474343
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,18902.0,7709868.0,-0.008273528676751664,0.0004460295978015615,-0.09095893950982313
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,5103.0,2768890.0,-0.04377247332933775,0.001399071606467059,-0.20921872126876637
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,5103.0,2768890.0,0.017925610835821212,0.0032817798383857582,0.1338865595787016
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,5103.0,2768890.0,-0.005184967201218178,0.0010300240960836294,-0.0720067163618657
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,0_10,"[0,10)",1,61783.0,369738.0,-0.19766203147739753,0.0024846784994127097,-0.44459198314566756
