sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,35_40,"[35,40)",7,12579,2373162,62871.6633602
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,40_999,"[40,inf)",7,5830,1692808,43392.685597
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,0_10,"[0,10)",7,3783,36052,22200.1144837
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,10_15,"[10,15)",7,34708,709488,445808.472233
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,15_20,"[15,20)",7,80423,2724057,1609360.91434
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,20_25,"[20,25)",7,85881,4132930,2116757.05796
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,25_30,"[25,30)",7,58821,3724507,1544716.38221
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,30_35,"[30,35)",7,30475,2393674,777616.500097
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,35_40,"[35,40)",7,12579,1166495,268739.950697
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,40_999,"[40,inf)",7,5830,663823,99151.3556945
